review,terms
i charge it at night and skip taking the cord with me because of the good battery life,"cord,battery life"
i bought a hp pavilion dv4-1222nr laptop and have have so many problems with the computer,
which be the retail shop which i bought my netbook from,
the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the sales team,"service center, sales team,tech guy"
i investigated netbooks and saw the toshiba nb305-n410bl,
etc,
little time to prep and have to set up a computer to a projector,
lots of people,
the other day i have a presentation to do for a seminar at a large conference in town,
and be absolutely gorgeous,
be bundled with lots of very good applications,applications
be easy to use,use
be extremely stable,
be highly expandable,
have a killer gui,gui
it be of high quality,quality
easy to start up and does not overheat as much as other laptops,start up
sad very sad,
because of the features that it offers,features
garage band and more,garage band
ichat,ichat
like,
photobooth,photobooth
i even got my teenage son one,
needless to say a pc that cannot support a cell phone be less than useless,
great laptop that offers many great features,features
they have done absolutely nothing to fix the computer problem,
hard drive light steady and not flashing as it usually does,hard drive light
no gui,gui
one night i turned the freaking thing off after using it,
power light steady,power light
screen all dark,screen
the next day i turn it on,
and finally got to use it,
but i have been putting off money for a while as a little macbook fund,
still pretty pricey,
blue screen which required me to remove the battery to reset,battery
i took it back for an asus and same thing,
break the seal and use it very clever con ,
get it home,
so you will never know about the razor edge until you buy it,edge
these macbooks be encased in a soft rubber enclosure ,rubber enclosure
in the shop,
the multi-touch gestures and large tracking area make having an external mouse unnecessary unless you be gaming ,"multi-touch gestures,tracking area,external mouse,gaming"
however,
plus it be small and reasonably light so i can take it with me to and from work,
i hate this one,
they be totally unconcerned that the computer be not correctly repaired in the first place,
toshiba does not send any one out unless you have paid extra to have the on site repair done,
boy,
oh,
but while this be one big advantage as you may know from the company s recent commercials there be other things to consider before going with apple,
i love the way the entire suite of software works together,suite of software
the speed be incredible and i be more than satisfied,speed
on the bright side at least i be not without my laptop for long this time,
this laptop meets every expectation and windows 7 be great,windows 7
that how frustrating it was,
i can barely use any usb devices because they will not stay connected properly,usb devices
but thats the only bad thing about this computer,
it tends to freeze up sometimes,
the one down side to it be that when i play a certin game on here,
but not an issue for me,
-no backlit keyboard,keyboard
when i finally have everything running with all my software installed i plugged in my droid to recharge and the system crashed,"software,system"
i cannot even turn it off,
be to not bother getting microsoft office for the mac expecting it will work just like you knew it to on a pc,microsoft office for the mac
one suggestion i do have,
now it a snap,
talk about painless syncing ,syncing
used to take me forever ,
pairing it with an iphone be a pure pleasure ,
i shopped around before buying,
which really helps to extend my screen and keep my eyes fresh,screen
i also got the added bonus of a 30 hd monitor,30 hd monitor
would do business again,
the machine be slow to boot up and occasionally crashes completely,boot up
it be frustrating that you cannot get help after hours,
after paying several hundred dollars for this service,service
i have have the luxury sarcasm of owning 2 of these laptops,
what a waste,
it be a total dhell experience that i will never repeat,
there be a few flaws as well that i noticed,
completely worth every single penny dime and nickel,
i tried to upgrade it to a newer version a couple of months ago and i still have the same problem,
but that be only a couple months ago and it been working perfect ever since,
i did have to replace the battery once,battery
in the past four years i have have it i have never once gotten a virus,
i love the operating system and the preloaded software,"operating system,preloaded software"
and i be looking forward in purchasing additonal products from them in the future,
they be great in handling this problem,
i have tried going back to xl but there still problems,
the best thing about this laptop be the price along with some of the newer features,"price,features"
i gave up i be a techie ,
after numerous attempts of trying including setting the clock in bios setup directly ,clock in bios setup
you will not be able to talk to an american warranty service be out of country,warranty service
but it may be potentially hundreds or thousands in the near future,
has met or exceeded my needs for a compact travel device,
but now i have realized its a problem with this brand,brand
it cannot save the correct date and time i set,
i sent it back to toshiba twice they covered it under the warranty,warranty
and this be not just my one experine,
they sent me a replacement part and without informing me be requiring that i return it within 15 days or contact them and let them know the broken part will be returned later,
i be looking for a mac which be portable and have all the features that i be looking for,features
i would highly recommend this one to my friends,
thats why i be a self proclaimed mac addict,
i honestly love my mac,
and these be some reasons you should get a macbook pro,
also kinda loud when the fan be running,fan
i called their customer service number and be told that my warranty have expired 2 days old and that the priviledge of talking to a technician would cost me have your credit card ready ,"customer service number,warranty,talking to a technician"
in desparation,
i purchased this laptop while on a business trip to keep up with my email,
there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files,"hard disc,windows,drivers"
drivers updated ok but the bios update froze the system up and the computer shut down,"drivers,bios update,system"
-they lost my laptop for a month,
spent 2 hours on phone with hp technical support,hp technical support
and it be head and shoulders above my first,
this be my second laptop,
at first,
it too have problems,
speaking of the browser,browser
i think just going from pc to mac have gotten me totally spoiled and i cannot imagine ever going back,
the keyboard be too slick,keyboard
nightly my computer defrags itself and runs a virus scan,virus scan
but if you can look past it,
it great,
it like 9 punds,9 punds
it just as fast with one program open as it be with sixteen open,program
no help at all,
still under warrenty so called toshiba,warrenty
i be happy with my purchase of a toshiba satellite l305d-s5934 laptop until it came time to have it repaired under the toshiba warranty,toshiba warranty
i love it,
amazing quality,quality
the fact that you can spend over 100 on just a webcam underscores the value of this machine,"webcam,value"
and managing personal files pics,managing personal files
etc ,
internet,internet
vids,
i mainly use it for email,
the freaking motherboard just died,motherboard
a month or so ago,
so when trying to fix the problems with it it started not working at all,
the system it comes with does not work properly,system
then after 4 or so months the charger stopped working so i be forced to go out and buy new hardware just to keep this computer running,"charger,hardware"
i took it back to best buy where they be so helpful and immediately gave me a new one,
maybe even forcing you to replace your entire computer,
if you have pc for four years i can almost gaurentee that something would of gone wrong by now,
2 weeks after giving the computer for repair -called headquarters,
they report that they have not looked at it yet but it be on the top of the stack ,
this machine delivers,
then 2 of my nephews be going into music and both fell in love with the macbook pro,
i complain again,
this laptop be insane,
its really easy to force quit,force quit
if a website ever freezes which be rare ,
it does run a little warm but that be a negligible concern,
it rarely works and when it does it incredibly slow,works
i also enjoy the fact that my macbook pro laptop allows me to run windows 7 on it by using the vmware program,"windows 7,vmware program"
and it runs a lot faster,runs
to find files,find files
it so much easier to navigate through the operating system,"operating system,navigate"
purchased a toshiba lap top it worked good until just after the warrenty went out,warrenty
i always swore by pcs and would never consider a mac,
wonderful machine,
what an elegant,
this be now my 3rd macbook pro and i really honestly love it,
for 2 months,
because they knew it be trouble,
i wanted to purchase the extended warranty and they refused,extended warranty
do you ever think hp would do that never,
we upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed,"memory,speed,performace"
it not like i have used for half a year and then complained about it,
still trying to learn how to use it,
and took way too long to do simple things,
it heated up very quickly,
like opening my documents folder,opening my documents folder
the reality was,
i bought the netbook because it be smaller and lighter for me to carry around,
the genius at the apple store advised me that there be nothing about my use of the computer that caused this failure,
we will save our money to replace it with a mac again,
thank you for your great product,
this company truely does make horrible products and doesnt seem to because they be certain things like this never happen,
i have always used pcs and been constantly frustrated by the crashing and the poorly designed operating systems that be never very intuitive,operating systems
but 1st impressions do count for something,
sorry toshiba,
the charger crapped out on me,charger
within 5 months,
then,
and if you have a iphone or ipod touch you can connect and download songs to it at high speed,speed
overall this laptop be great,
i love the glass touchpad,glass touchpad
i continued to take the computer in again and they replaced the hard drive and mother board yet again,"hard drive,mother board"
sound be good,sound
i be using the external speaker,external speaker
the apple mc371ll a 24ghz 154-inch macbook pro notebook be a horrible waste of money,
this be probably the best laptop series ever devised by apple,
ok,
about 4 inches across be hardly visible,
as of a couple weeks ago the middle portion of the laptop from top to bottom,
but be very happy with the upgrade,
still testing the battery life as i thought it would be better,battery life
not able to connect,
then hp sends it back to me with the hardware screwed up,hardware
i just hope the reputation that toshiba have be true and i wo not have to worry about a crash,
do not forget the expensive shipping to and from hp,shipping
oh yeah,
i would recommend anyone to buy from pcconnection express,
good luck,
mac software be just so much simpler than microsoft software,"mac software,microsoft software"
everything be so easy to use,use
although the most expensive,
be my sony,
my favorite by far,
editing be a problem since there be no forward delete key,"delete key,editing"
and if you do a lot of writing,
also i typed faster then then letters would show and it got to be realy annoying,
as an owner of a toshiba satalite laptop computer things you should know before you buy,
be it their phone assistance or bellying up to the genius bar,"phone assistance,genius bar"
cannot be beat,
its ease of use and the top service from apple,"use,service"
and in terms of gaming and movie playing it will have a battery life of just over 5 hours,"battery life,battery life,gaming,movie playing"
making it perfect for the classroom or office,
it have a 10 hour battery life when you be doing web browsing and word editing,"battery life,battery life,web browsing,word editing"
july 17,
i shipped out on saturday,
i bought it for really cheap also and it amazing,
when they be available since i asked,
acer have set me up with free recovery discs,recovery discs
i also purchased office max max assurance with the no lemon clause,office max max assurance 
if you find yourself in the market for a new laptop and have the money do not exclude looking at the mbps,
i eventually did the migration from my imac backup disc which uses usb,"imac backup disc,usb"
vital even,
those things be very important ,
-they say it will take up to two weeks ,
i did not like one thing about it,
and have have no issues with it,
the battery life seems to be very good,battery life
enabling the battery timer be useless,battery timer
temperatures on the outside be alright but i did not track in core processing unit temperatures,"temperatures,core processing unit temperatures"
to you,
yeah,
i got a mac as my hs graduation gift,
i have now have it for 15 months and love it,
it turned out it not really a problem to have a mac,
page just disapeared after you got yahoo or downloaded something,
images can be multi-selected and viewed swiftly or in slideshow mode,
going to bring it to service today,service
which saves me a lot of time and money,
there be no need to purchase virus protection for mac,virus protection for mac
and there be none,
but we have paid for bluetooth,bluetooth
hoping they can make the hinge tighter,hinge
i paid a visit to lg notebook service center at alexandra road,lg notebook service center
so,
email,
facebook,
pictures and music,
my daughter uses it for games,games
laptop be to be used like a netbook,
never bugged and responds well,responds
it be always reliable,
after about a week i finally got it back and be told that the motherboard have failed and so they installed a new motherboard,"motherboard,motherboard"
so i want to manage my time i do have to be the most efficient,
trying to balance all of my roles leaves very little time for me to do anything,
and also have hardware replaced after only 2 months,hardware
locked up,
it be slow,
they have to replace the motherboard in april,motherboard
and be pretty self explantory in use,use
less expensive than the average laptop,
the computer be light weight,
yes,
if you need to talk to a representive at microsoft,representive at microsoft
since you be charged enormous amounts for a very badly designed system,system
there be a charge,
which i believe be robbery,
which most people would have went with xp if they could,xp
also,
but good luck with that,
there be a little indent to help open it ,
i love windows 7 which be a vast improvment over vista,"windows 7,vista"
also,
and not even sitting on anything to make it hot,
i have alot of trouble with it getting very hot,
it be a great deal after all,
this mac be great,
very quiet for all the typing that i do,
keyboard be great,keyboard
i grew up in a design family so it only made sense,
gave phonenumber,
it would take up too much time to do reaearch for my papers and i would be up hours-just because the computer be too slow,
oh my goodness-i be not a happy camper,
dell customer disservice be an insult to it customers who pay good money for shoddy products,dell customer disservice
i would recommend this laptop to anyone,
hp wo not do anything about the problem,
yet,
i be returning mine,
and would not move past this error,
it have a cooling system malfunction after 10 minutes of general use,"cooling system,use"
which be a problem for most pc unless you have a quad core i7,quad core i7
i can render avchd movies with little effort,
it a bummer and one out of five be being kind,
and simply categorize them as portables,
and that be the reason we no longer call them laptops,
it heats up,
this be what they told me ,
i chose the macbook pro over the white macbook,
after talking it over with the very knowledgeable sales associate,sales associate
go with an apple,
if you really want a bang-up system and do not need to run windows applications,"system,windows applications"
you wo not have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet,virus program
this laptop be fast and you will literally learn all you can do with this dynamo by just watching the online tutorials,
one of them seems to have worked,
which i still use and have hooked up to my tv,
the problem i have with this unit be unresolvable,
it weighed like seven pounds or something like that,"weighed,seven pounds"
the battery went,battery
2 months later,
you may need to special order a bag,bag
it color be even cool,color
and it have blue screen crashed on me twice,
another two weeks later and it be back in my possession,
keys be all in weird places and be way too large for the way it be designed,"keys,designed"
this be by far the worst one i have ever had,
i have owned every pro model apple laptop for the last 8 years,
we purchase the dell xps several years ago for my home business,
like all the others,
we smoothly with no problems,
have purchased many products over the years from macconnection and this transaction,
i would recommend anyone to buy from pcconnection express,
a mac be much more money than the average laptop out there,
but there be no comparison in style,style
speed and just cool factor,speed
yes,
he gave me this pc about 3 years ago and up to this point im still sitting here using it,
i be pleased,
the keyboard feels good and i type just fine on it,keyboard
i took the machine home and tried to find a flaw,
with a healthy pessimism,
shiny this laptop be the best of the best,
i thought the white mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing,mousepad
the battery will slowly less and less hold a charge until you cannot leave it unplugged for more than 5 minutes without the thing dying,battery
and not to mention after using it for a few months or so,
save it and but a mac,
do not waste their money,
money and time well spent,
gradually the freezing screen evolved into a screen that froze in weird shapes,
3 stars dell support ,dell support
5 stars + + + sales,sales
owes a me a couple,
respect for old men who be not familiar with the technology dell computers ,
service,service
best buy ,
good laptop for the money,
i like the laptop overall,
i now travel with this laptop and my work pc,
i be however pleased that it be still hanging in there,
both my husband and i have this model toshiba,
and maybe because it just sits on your desktop,
and you do not carry it around,
or the motherboard,motherboard
which could jar the hard drive,hard drive
no complaints with their desktop,
and longevity,longevity
but they more than make up for it in speed,speed
construction quality,construction quality
they cost more,cost
yes,
etc,
i look for a unit that have a comfortble keyboard no keys sticking or lagging,"keyboard,keys"
strange configuration of extra key ,configuration of extra key 
since i keyboard over 100 wpm,keyboard
i also tried the touch pad and compared it to other netbooks in the store,touch pad
and minimal problems that have arisen make it well worth the pricetag,pricetag
but the ease of use,use
security,security
it absolutely be more expensive than most pc laptops,
and you have to keep tapping on it to get it to work,work
it gets stuck all of the time you use it,use
lots of preloaded software,preloaded software
acer,
dell,
packard bell and toshiba,
sony,
a guy came out to serve me instead,
and then,
breaking within 1 year of purchase and speaking to 4 + people to report the damaged part will be returned late,
have returned that laptop unused,
will probably never buy a hp again,
i got tired of buying laptops and having them stop working after a year,
i should have been more observant,
then it would be perfect,
i wish it have a webcam though,webcam
my favorite part of this computer be that it have a vga port so i can connect it to a bigger screen,"vga port,screen"
another thing i might add be the battery life be excellent,battery life
i wish the keys be backlit,keys
one drawback,
taped it shut resold it as new,
when the buyer returned it wal mart just boxed it,
what a great little laptop,
so i returned it and purchased a toshiba r700 that seems even nicer and i be able to load all of my software with no problem,software
acer be no help and garmin could not determine the problem after spending about 2 hours with me ,
i wish the volume could be louder and the mouse didnt break after only a month,"volume,mouse"
and the touchpad be very responsive,touchpad
i play a lot of casual games online,
it still a very new laptop but in comparison to my previous laptops and desktops,
