review,terms
i charge it at night and skip taking the cord with me because of the good battery life,"O,O,O,O,O,O,O,O,BB,B,EB,O,O,O,O,BB,B,I"
i bought a hp pavilion dv4-1222nr laptop and have have so many problems with the computer,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
which be the retail shop which i bought my netbook from,"O,O,O,O,O,O,O,O,O,O,O"
the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the sales team,"BB,B,I,EI,O,BB,B,I,EI,O,O,O,O,O,O,O,O,O,O,O,O,BB,B,I"
i investigated netbooks and saw the toshiba nb305-n410bl,"O,O,O,O,O,O,O,O"
etc,O
little time to prep and have to set up a computer to a projector,"O,O,O,O,O,O,O,O,O,O,O,O,O,O"
lots of people,"O,O,O"
the other day i have a presentation to do for a seminar at a large conference in town,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
and be absolutely gorgeous,"O,O,O,O"
be bundled with lots of very good applications,"O,O,O,O,O,O,BB,B"
be easy to use,"O,O,BB,B"
be extremely stable,"O,O,O"
be highly expandable,"O,O,O"
have a killer gui,"O,O,BB,B"
it be of high quality,"O,O,O,BB,B"
easy to start up and does not overheat as much as other laptops,"O,BB,B,I,EI,O,O,O,O,O,O,O,O"
sad very sad,"O,O,O"
because of the features that it offers,"O,O,BB,B,EB,O,O"
garage band and more,"B,I,EI,O"
ichat,B
like,O
photobooth,B
i even got my teenage son one,"O,O,O,O,O,O,O"
needless to say a pc that cannot support a cell phone be less than useless,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
great laptop that offers many great features,"O,O,O,O,O,BB,B"
they have done absolutely nothing to fix the computer problem,"O,O,O,O,O,O,O,O,O,O"
hard drive light steady and not flashing as it usually does,"B,I,I,EI,O,O,O,O,O,O,O"
no gui,"BB,B"
one night i turned the freaking thing off after using it,"O,O,O,O,O,O,O,O,O,O,O"
power light steady,"B,I,EI"
screen all dark,"B,EB,O"
the next day i turn it on,"O,O,O,O,O,O,O"
and finally got to use it,"O,O,O,O,O,O"
but i have been putting off money for a while as a little macbook fund,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
still pretty pricey,"O,O,O"
blue screen which required me to remove the battery to reset,"O,O,O,O,O,O,O,BB,B,EB,O"
i took it back for an asus and same thing,"O,O,O,O,O,O,O,O,O,O"
break the seal and use it very clever con ,"O,O,O,O,O,O,O,O,O"
get it home,"O,O,O"
so you will never know about the razor edge until you buy it,"O,O,O,O,O,O,O,BB,B,EB,O,O,O"
these macbooks be encased in a soft rubber enclosure ,"O,O,O,O,O,O,BB,B,I"
in the shop,"O,O,O"
the multi-touch gestures and large tracking area make having an external mouse unnecessary unless you be gaming ,"BB,B,I,EI,BB,B,I,EI,O,BB,B,I,EI,O,O,BB,B"
however,O
plus it be small and reasonably light so i can take it with me to and from work,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
i hate this one,"O,O,O,O"
they be totally unconcerned that the computer be not correctly repaired in the first place,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
toshiba does not send any one out unless you have paid extra to have the on site repair done,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
boy,O
oh,O
but while this be one big advantage as you may know from the company s recent commercials there be other things to consider before going with apple,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
i love the way the entire suite of software works together,"O,O,O,O,O,BB,B,I,I,EI,O"
the speed be incredible and i be more than satisfied,"BB,B,EB,O,O,O,O,O,O,O"
on the bright side at least i be not without my laptop for long this time,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
this laptop meets every expectation and windows 7 be great,"O,O,O,O,O,BB,B,I,EI,O"
that how frustrating it was,"O,O,O,O,O"
i can barely use any usb devices because they will not stay connected properly,"O,O,O,O,BB,B,I,EI,O,O,O,O,O,O"
but thats the only bad thing about this computer,"O,O,O,O,O,O,O,O,O"
it tends to freeze up sometimes,"O,O,O,O,O,O"
the one down side to it be that when i play a certin game on here,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
but not an issue for me,"O,O,O,O,O,O"
-no backlit keyboard,"O,BB,B"
when i finally have everything running with all my software installed i plugged in my droid to recharge and the system crashed,"O,O,O,O,O,O,O,O,BB,B,EB,O,O,O,O,O,O,O,O,BB,B,EB"
i cannot even turn it off,"O,O,O,O,O,O"
be to not bother getting microsoft office for the mac expecting it will work just like you knew it to on a pc,"O,O,O,O,BB,B,I,I,I,I,EI,O,O,O,O,O,O,O,O,O,O,O,O"
one suggestion i do have,"O,O,O,O,O"
now it a snap,"O,O,O,O"
talk about painless syncing ,"O,O,BB,B"
used to take me forever ,"O,O,O,O,O"
pairing it with an iphone be a pure pleasure ,"O,O,O,O,O,O,O,O,O"
i shopped around before buying,"O,O,O,O,O"
which really helps to extend my screen and keep my eyes fresh,"O,O,O,O,O,BB,B,EB,O,O,O,O"
i also got the added bonus of a 30 hd monitor,"O,O,O,O,O,O,O,BB,B,I,I"
would do business again,"O,O,O,O"
the machine be slow to boot up and occasionally crashes completely,"O,O,O,O,BB,B,I,EI,O,O,O"
it be frustrating that you cannot get help after hours,"O,O,O,O,O,O,O,O,O,O"
after paying several hundred dollars for this service,"O,O,O,O,O,O,BB,B"
i have have the luxury sarcasm of owning 2 of these laptops,"O,O,O,O,O,O,O,O,O,O,O,O"
what a waste,"O,O,O"
it be a total dhell experience that i will never repeat,"O,O,O,O,O,O,O,O,O,O,O"
there be a few flaws as well that i noticed,"O,O,O,O,O,O,O,O,O,O"
completely worth every single penny dime and nickel,"O,O,O,O,O,O,O,O"
i tried to upgrade it to a newer version a couple of months ago and i still have the same problem,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
but that be only a couple months ago and it been working perfect ever since,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
i did have to replace the battery once,"O,O,O,O,O,BB,B,EB"
in the past four years i have have it i have never once gotten a virus,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
i love the operating system and the preloaded software,"O,O,BB,B,I,EI,BB,B,I"
and i be looking forward in purchasing additonal products from them in the future,"O,O,O,O,O,O,O,O,O,O,O,O,O,O"
they be great in handling this problem,"O,O,O,O,O,O,O"
i have tried going back to xl but there still problems,"O,O,O,O,O,O,O,O,O,O,O"
the best thing about this laptop be the price along with some of the newer features,"O,O,O,O,O,O,O,BB,B,EB,O,O,O,O,BB,B"
i gave up i be a techie ,"O,O,O,O,O,O,O"
after numerous attempts of trying including setting the clock in bios setup directly ,"O,O,O,O,O,O,O,BB,B,I,I,I,EI"
you will not be able to talk to an american warranty service be out of country,"O,O,O,O,O,O,O,O,O,BB,B,I,EI,O,O,O"
but it may be potentially hundreds or thousands in the near future,"O,O,O,O,O,O,O,O,O,O,O,O"
has met or exceeded my needs for a compact travel device,"O,O,O,O,O,O,O,O,O,O,O"
but now i have realized its a problem with this brand,"O,O,O,O,O,O,O,O,O,BB,B"
it cannot save the correct date and time i set,"O,O,O,O,O,O,O,O,O,O"
